SepalLength,SepalWidth,PetalLength,PetalWidth,Name,y1,y2,theta11,theta12,theta13,theta14,theta21,theta22,theta23,theta24,bias1,bias2,result1,result2,activation,,prediction,,error,,dtheta11,dtheta12,dtheta13,dtheta14,dtheta21,dtheta22,dtheta23,dtheta24,dbias1,dbias2
5.4,3.7,1.5,0.2,Iris-setosa,1,1,0.500216348,0.500145156,0.500065048,0.500009263,0.500216348,0.500145156,0.500065048,0.500009263,0.500045725,0.500045725,5.901850508,5.901850508,0.997273076,0.997273076,1,1,3.72E-06,3.72E-06,-8.01E-05,-5.49E-05,-2.22E-05,-2.97E-06,-8.01E-05,-5.49E-05,-2.22E-05,-2.97E-06,-1.48E-05,-1.48E-05
4.8,3.4,1.6,0.2,Iris-setosa,1,1,0.500224357,0.500150644,0.500067273,0.500009559,0.500224357,0.500150644,0.500067273,0.500009559,0.500047209,0.500047209,5.501745861,5.501745861,0.995936933,0.995936933,1,1,8.25E-06,8.25E-06,-0.000157838,-0.000111802,-5.26E-05,-6.58E-06,-0.000157838,-0.000111802,-5.26E-05,-6.58E-06,-3.29E-05,-3.29E-05
4.8,3,1.4,0.1,Iris-setosa,1,1,0.500240141,0.500161824,0.500072534,0.500010217,0.500240141,0.500161824,0.500072534,0.500010217,0.500050497,0.500050497,5.151791215,5.151791215,0.994244294,0.994244294,1,1,1.66E-05,1.66E-05,-0.0003162,-0.000197625,-9.22E-05,-6.59E-06,-0.0003162,-0.000197625,-9.22E-05,-6.59E-06,-6.59E-05,-6.59E-05
4.3,3,1.1,0.1,Iris-setosa,1,1,0.500271761,0.500181586,0.500081757,0.500010876,0.500271761,0.500181586,0.500081757,0.500010876,0.500057084,0.500057084,4.751861436,4.751861436,0.99143833,0.99143833,1,1,3.67E-05,3.67E-05,-0.000625002,-0.000436048,-0.000159884,-1.45E-05,-0.000625002,-0.000436048,-0.000159884,-1.45E-05,-0.000145349,-0.000145349
5.8,4,1.2,0.2,Iris-setosa,1,1,0.500334261,0.500225191,0.500097745,0.500012329,0.500334261,0.500225191,0.500097745,0.500012329,0.500071619,0.500071619,6.103030859,6.103030859,0.997768909,0.997768909,1,1,2.49E-06,2.49E-06,-5.76E-05,-3.97E-05,-1.19E-05,-1.99E-06,-5.76E-05,-3.97E-05,-1.19E-05,-1.99E-06,-9.93E-06,-9.93E-06
5.7,4.4,1.5,0.4,Iris-setosa,1,1,0.500340022,0.500229165,0.500098937,0.500012528,0.500340022,0.500229165,0.500098937,0.500012528,0.500072613,0.500072613,6.503172482,6.503172482,0.998503566,0.998503566,1,1,1.12E-06,1.12E-06,-2.55E-05,-1.97E-05,-6.71E-06,-1.79E-06,-2.55E-05,-1.97E-05,-6.71E-06,-1.79E-06,-4.47E-06,-4.47E-06
5.4,3.9,1.3,0.4,Iris-setosa,1,1,0.500342571,0.500231132,0.500099608,0.500012707,0.500342571,0.500231132,0.500099608,0.500012707,0.50007306,0.50007306,6.002958934,6.002958934,0.997534664,0.997534664,1,1,3.04E-06,3.04E-06,-6.55E-05,-4.73E-05,-1.58E-05,-4.85E-06,-6.55E-05,-4.73E-05,-1.58E-05,-4.85E-06,-1.21E-05,-1.21E-05
5.1,3.5,1.4,0.3,Iris-setosa,1,1,0.500349119,0.500235861,0.500101184,0.500013192,0.500349119,0.500235861,0.500101184,0.500013192,0.500074272,0.500074272,5.652825911,5.652825911,0.99650467,0.99650467,1,1,6.11E-06,6.11E-06,-0.000124181,-8.52E-05,-3.41E-05,-7.30E-06,-0.000124181,-8.52E-05,-3.41E-05,-7.30E-06,-2.43E-05,-2.43E-05
5.7,3.8,1.7,0.3,Iris-setosa,1,1,0.500361538,0.500244383,0.500104593,0.500013922,0.500361538,0.500244383,0.500104593,0.500013922,0.500076707,0.500076707,6.253248114,6.253248114,0.998079501,0.998079501,1,1,1.84E-06,1.84E-06,-4.20E-05,-2.80E-05,-1.25E-05,-2.21E-06,-4.20E-05,-2.80E-05,-1.25E-05,-2.21E-06,-7.36E-06,-7.36E-06
5.1,3.8,1.5,0.3,Iris-setosa,1,1,0.500365734,0.500247181,0.500105845,0.500014143,0.500365734,0.500247181,0.500105845,0.500014143,0.500077444,0.500077444,5.853044986,5.853044986,0.997137077,0.997137077,1,1,4.10E-06,4.10E-06,-8.34E-05,-6.21E-05,-2.45E-05,-4.90E-06,-8.34E-05,-6.21E-05,-2.45E-05,-4.90E-06,-1.63E-05,-1.63E-05
5.4,3.4,1.7,0.2,Iris-setosa,1,1,0.50037407,0.500253393,0.500108297,0.500014634,0.50037407,0.500253393,0.500108297,0.500014634,0.500079078,0.500079078,5.853147624,5.853147624,0.99713737,0.99713737,1,1,4.10E-06,4.10E-06,-8.82E-05,-5.56E-05,-2.78E-05,-3.27E-06,-8.82E-05,-5.56E-05,-2.78E-05,-3.27E-06,-1.63E-05,-1.63E-05
5.1,3.7,1.5,0.4,Iris-setosa,1,1,0.500382895,0.500258949,0.500111075,0.50001496,0.500382895,0.500258949,0.500111075,0.50001496,0.500080712,0.500080712,5.853164186,5.853164186,0.997137417,0.997137417,1,1,4.10E-06,4.10E-06,-8.33E-05,-6.05E-05,-2.45E-05,-6.54E-06,-8.33E-05,-6.05E-05,-2.45E-05,-6.54E-06,-1.63E-05,-1.63E-05
4.6,3.6,1,0.2,Iris-setosa,1,1,0.50039123,0.500264995,0.500113526,0.500015614,0.50039123,0.500264995,0.500113526,0.500015614,0.500082347,0.500082347,5.202952636,5.202952636,0.994529788,0.994529788,1,1,1.50E-05,1.50E-05,-0.000273788,-0.000214269,-5.95E-05,-1.19E-05,-0.000273788,-0.000214269,-5.95E-05,-1.19E-05,-5.95E-05,-5.95E-05
5.1,3.3,1.7,0.5,Iris-setosa,1,1,0.500418608,0.500286422,0.500119478,0.500016805,0.500418608,0.500286422,0.500119478,0.500016805,0.500088299,0.500088299,5.80337991,5.80337991,0.996991738,0.996991738,1,1,4.52E-06,4.52E-06,-9.20E-05,-5.95E-05,-3.07E-05,-9.02E-06,-9.20E-05,-5.95E-05,-3.07E-05,-9.02E-06,-1.80E-05,-1.80E-05
4.8,3.4,1.9,0.2,Iris-setosa,1,1,0.500427811,0.500292377,0.500122546,0.500017707,0.500427811,0.500292377,0.500122546,0.500017707,0.500090103,0.500090103,5.653374058,5.653374058,0.996506578,0.996506578,1,1,6.10E-06,6.10E-06,-0.000116749,-8.27E-05,-4.62E-05,-4.86E-06,-0.000116749,-8.27E-05,-4.62E-05,-4.86E-06,-2.43E-05,-2.43E-05
5,3,1.6,0.2,Iris-setosa,1,1,0.500439486,0.500300647,0.500127167,0.500018193,0.500439486,0.500300647,0.500127167,0.500018193,0.500092535,0.500092535,5.403399013,5.403399013,0.995518915,0.995518915,1,1,1.00E-05,1.00E-05,-0.000199901,-0.000119941,-6.40E-05,-8.00E-06,-0.000199901,-0.000119941,-6.40E-05,-8.00E-06,-4.00E-05,-4.00E-05
5,3.4,1.6,0.4,Iris-setosa,1,1,0.500459476,0.500312641,0.500133564,0.500018993,0.500459476,0.500312641,0.500133564,0.500018993,0.500096533,0.500096533,5.703678194,5.703678194,0.996677396,0.996677396,1,1,5.52E-06,5.52E-06,-0.00011003,-7.48E-05,-3.52E-05,-8.80E-06,-0.00011003,-7.48E-05,-3.52E-05,-8.80E-06,-2.20E-05,-2.20E-05
5.2,3.5,1.5,0.2,Iris-setosa,1,1,0.500470479,0.500320123,0.500137085,0.500019873,0.500470479,0.500320123,0.500137085,0.500019873,0.500098734,0.500098734,5.703875259,5.703875259,0.996678048,0.996678048,1,1,5.52E-06,5.52E-06,-0.000114387,-7.70E-05,-3.30E-05,-4.40E-06,-0.000114387,-7.70E-05,-3.30E-05,-4.40E-06,-2.20E-05,-2.20E-05
5.2,3.4,1.4,0.2,Iris-setosa,1,1,0.500481918,0.500327822,0.500140384,0.500020313,0.500481918,0.500327822,0.500140384,0.500020313,0.500100934,0.500100934,5.603922103,5.603922103,0.996330129,0.996330129,1,1,6.73E-06,6.73E-06,-0.000139553,-9.12E-05,-3.76E-05,-5.37E-06,-0.000139553,-9.12E-05,-3.76E-05,-5.37E-06,-2.68E-05,-2.68E-05
4.7,3.2,1.6,0.2,Iris-setosa,1,1,0.500495873,0.500336947,0.500144142,0.50002085,0.500495873,0.500336947,0.500144142,0.50002085,0.500103617,0.500103617,5.353747248,5.353747248,0.995291879,0.995291879,1,1,1.11E-05,1.11E-05,-0.000207383,-0.000141197,-7.06E-05,-8.82E-06,-0.000207383,-0.000141197,-7.06E-05,-8.82E-06,-4.41E-05,-4.41E-05
4.8,3.1,1.6,0.2,Iris-setosa,1,1,0.500516612,0.500351066,0.500151201,0.500021732,0.500516612,0.500351066,0.500151201,0.500021732,0.50010803,0.50010803,5.35392234,5.35392234,0.9952927,0.9952927,1,1,1.11E-05,1.11E-05,-0.000211722,-0.000136737,-7.06E-05,-8.82E-06,-0.000211722,-0.000136737,-7.06E-05,-8.82E-06,-4.41E-05,-4.41E-05
5.4,3.4,1.5,0.4,Iris-setosa,1,1,0.500537784,0.50036474,0.500158259,0.500022614,0.500537784,0.50036474,0.500158259,0.500022614,0.500112441,0.500112441,5.854503024,5.854503024,0.997141236,0.997141236,1,1,4.09E-06,4.09E-06,-8.80E-05,-5.54E-05,-2.44E-05,-6.52E-06,-8.80E-05,-5.54E-05,-2.44E-05,-6.52E-06,-1.63E-05,-1.63E-05
5.2,4.1,1.5,0.1,Iris-setosa,1,1,0.500546585,0.500370282,0.500160704,0.500023266,0.500546585,0.500370282,0.500160704,0.500023266,0.50011407,0.50011407,5.954717848,5.954717848,0.997413134,0.997413134,1,1,3.35E-06,3.35E-06,-6.94E-05,-5.47E-05,-2.00E-05,-1.33E-06,-6.94E-05,-5.47E-05,-2.00E-05,-1.33E-06,-1.33E-05,-1.33E-05
5.5,4.2,1.4,0.2,Iris-setosa,1,1,0.500553526,0.500375755,0.500162706,0.5000234,0.500553526,0.500375755,0.500162706,0.5000234,0.500115405,0.500115405,6.154970439,6.154970439,0.997881593,0.997881593,1,1,2.24E-06,2.24E-06,-4.93E-05,-3.76E-05,-1.25E-05,-1.79E-06,-4.93E-05,-3.76E-05,-1.25E-05,-1.79E-06,-8.96E-06,-8.96E-06
4.9,3.1,1.5,0.1,Iris-setosa,1,1,0.500558452,0.500379516,0.50016396,0.500023579,0.500558452,0.500379516,0.50016396,0.500023579,0.500116301,0.500116301,5.304277516,5.304277516,0.995054294,0.995054294,1,1,1.22E-05,1.22E-05,-0.000238523,-0.000150902,-7.30E-05,-4.87E-06,-0.000238523,-0.000150902,-7.30E-05,-4.87E-06,-4.87E-05,-4.87E-05
5,3.2,1.2,0.2,Iris-setosa,1,1,0.500582305,0.500394607,0.500171262,0.500024066,0.500582305,0.500394607,0.500171262,0.500024066,0.500121169,0.500121169,5.30450576,5.30450576,0.995055417,0.995055417,1,1,1.22E-05,1.22E-05,-0.00024328,-0.000155699,-5.84E-05,-9.73E-06,-0.00024328,-0.000155699,-5.84E-05,-9.73E-06,-4.87E-05,-4.87E-05
5.5,3.5,1.3,0.2,Iris-setosa,1,1,0.500606633,0.500410176,0.5001771,0.500025039,0.500606633,0.500410176,0.5001771,0.500025039,0.500126034,0.500126034,5.75513337,5.75513337,0.996843511,0.996843511,1,1,4.98E-06,4.98E-06,-0.000109252,-6.95E-05,-2.58E-05,-3.97E-06,-0.000109252,-6.95E-05,-2.58E-05,-3.97E-06,-1.99E-05,-1.99E-05
4.9,3.1,1.5,0.1,Iris-setosa,1,1,0.500617558,0.500417129,0.500179683,0.500025436,0.500617558,0.500417129,0.500179683,0.500025436,0.500128021,0.500128021,5.304719221,5.304719221,0.995056467,0.995056467,1,1,1.22E-05,1.22E-05,-0.000238314,-0.00015077,-7.30E-05,-4.86E-06,-0.000238314,-0.00015077,-7.30E-05,-4.86E-06,-4.86E-05,-4.86E-05
4.4,3,1.3,0.2,Iris-setosa,1,1,0.500641389,0.500432206,0.500186978,0.500025923,0.500641389,0.500432206,0.500186978,0.500025923,0.500132884,0.500132884,4.95449987,4.95449987,0.992997771,0.992997771,1,1,2.45E-05,2.45E-05,-0.000428453,-0.000292127,-0.000126589,-1.95E-05,-0.000428453,-0.000292127,-0.000126589,-1.95E-05,-9.74E-05,-9.74E-05
5.1,3.4,1.5,0.2,Iris-setosa,1,1,0.500684235,0.500461419,0.500199637,0.50002787,0.500684235,0.500461419,0.500199637,0.50002787,0.500142622,0.500142622,5.60550607,5.60550607,0.996335916,0.996335916,1,1,6.71E-06,6.71E-06,-0.000136438,-9.10E-05,-4.01E-05,-5.35E-06,-0.000136438,-9.10E-05,-4.01E-05,-5.35E-06,-2.68E-05,-2.68E-05
5,3.5,1.3,0.3,Iris-setosa,1,1,0.500697878,0.500470514,0.50020365,0.500028405,0.500697878,0.500470514,0.50020365,0.500028405,0.500145297,0.500145297,5.555554756,5.555554756,0.996148965,0.996148965,1,1,7.42E-06,7.42E-06,-0.000147734,-0.000103414,-3.84E-05,-8.86E-06,-0.000147734,-0.000103414,-3.84E-05,-8.86E-06,-2.95E-05,-2.95E-05
4.5,2.3,1.3,0.3,Iris-setosa,1,1,0.500712652,0.500480856,0.500207491,0.500029291,0.500712652,0.500480856,0.500207491,0.500029291,0.500148252,0.500148252,4.704739679,4.704739679,0.991028938,0.991028938,1,1,4.02E-05,4.02E-05,-0.000717822,-0.000366887,-0.000207371,-4.79E-05,-0.000717822,-0.000366887,-0.000207371,-4.79E-05,-0.000159516,-0.000159516
4.4,3.2,1.3,0.2,Iris-setosa,1,1,0.500784434,0.500517544,0.500228228,0.500034077,0.500784434,0.500517544,0.500228228,0.500034077,0.500164203,0.500164203,5.055575367,5.055575367,0.993666668,0.993666668,1,1,2.01E-05,2.01E-05,-0.000350742,-0.000255085,-0.000103628,-1.59E-05,-0.000350742,-0.000255085,-0.000103628,-1.59E-05,-7.97E-05,-7.97E-05
5,3.5,1.6,0.6,Iris-setosa,1,1,0.500819508,0.500543053,0.500238591,0.500035671,0.500819508,0.500543053,0.500238591,0.500035671,0.500172175,0.500172175,5.856573549,5.856573549,0.997147132,0.997147132,1,1,4.07E-06,4.07E-06,-8.12E-05,-5.68E-05,-2.60E-05,-9.74E-06,-8.12E-05,-5.68E-05,-2.60E-05,-9.74E-06,-1.62E-05,-1.62E-05
5.1,3.8,1.9,0.4,Iris-setosa,1,1,0.500827624,0.500548734,0.500241188,0.500036645,0.500827624,0.500548734,0.500241188,0.500036645,0.500173798,0.500173798,6.106952783,6.106952783,0.997777622,0.997777622,1,1,2.47E-06,2.47E-06,-5.03E-05,-3.75E-05,-1.87E-05,-3.94E-06,-5.03E-05,-3.75E-05,-1.87E-05,-3.94E-06,-9.86E-06,-9.86E-06
4.8,3,1.4,0.3,Iris-setosa,1,1,0.50083265,0.500552479,0.50024306,0.500037039,0.50083265,0.500552479,0.50024306,0.500037039,0.500174784,0.500174784,5.256180339,5.256180339,0.99481187,0.99481187,1,1,1.35E-05,1.35E-05,-0.00025706,-0.000160662,-7.50E-05,-1.61E-05,-0.00025706,-0.000160662,-7.50E-05,-1.61E-05,-5.36E-05,-5.36E-05
5.1,3.8,1.6,0.2,Iris-setosa,1,1,0.500858356,0.500568545,0.500250558,0.500038646,0.500858356,0.500568545,0.500250558,0.500038646,0.500180139,0.500180139,5.85712685,5.85712685,0.997148706,0.997148706,1,1,4.06E-06,4.06E-06,-8.27E-05,-6.16E-05,-2.59E-05,-3.24E-06,-8.27E-05,-6.16E-05,-2.59E-05,-3.24E-06,-1.62E-05,-1.62E-05
4.6,3.2,1.4,0.2,Iris-setosa,1,1,0.500866625,0.500574707,0.500253152,0.50003897,0.500866625,0.500574707,0.500253152,0.50003897,0.50018176,0.50018176,5.206369504,5.206369504,0.994548345,0.994548345,1,1,1.49E-05,1.49E-05,-0.000271938,-0.000189174,-8.28E-05,-1.18E-05,-0.000271938,-0.000189174,-8.28E-05,-1.18E-05,-5.91E-05,-5.91E-05
5.3,3.7,1.5,0.2,Iris-setosa,1,1,0.500893819,0.500593624,0.500261428,0.500040153,0.500893819,0.500593624,0.500261428,0.500040153,0.500187672,0.500187672,5.857521494,5.857521494,0.997149827,0.997149827,1,1,4.06E-06,4.06E-06,-8.59E-05,-5.99E-05,-2.43E-05,-3.24E-06,-8.59E-05,-5.99E-05,-2.43E-05,-3.24E-06,-1.62E-05,-1.62E-05
5,3.3,1.4,0.2,Iris-setosa,1,1,0.500902405,0.500599618,0.500263858,0.500040477,0.500902405,0.500599618,0.500263858,0.500040477,0.500189292,0.500189292,5.457057556,5.457057556,0.995752032,0.995752032,1,1,9.02E-06,9.02E-06,-0.000179686,-0.000118593,-5.03E-05,-7.19E-06,-0.000179686,-0.000118593,-5.03E-05,-7.19E-06,-3.59E-05,-3.59E-05
